uniprot,primaryAccession
MAX_HUMAN,P61244
MAD1_HUMAN,Q05195
MDM2_HUMAN,Q00987
SUMO1_HUMAN,P63165
H2AX_HUMAN,P16104
HXB7_HUMAN,P09629
HXC4_HUMAN,P09017
JAK2_HUMAN,O60674
ESR1_HUMAN,P03372
LEP_HUMAN,A0A387LAQ4
LEPR_HUMAN,P48357
IKBA_HUMAN,P25963
CLUS_HUMAN,P10909
MTOR_HUMAN,P42345
GHRHR_HUMAN,Q02643
CTNB1_HUMAN,P35222
PSN1_HUMAN,P49768
DLL3_HUMAN,Q9NYJ7
CDN2A_HUMAN,P42771
PP1A_HUMAN,P62136
DREB_HUMAN,Q16643
NOGG_HUMAN,Q13253
ELN_HUMAN,P15502
ATR_HUMAN,Q13535
UCP3_HUMAN,P55916
FACE1_HUMAN,O75844
P63_HUMAN,Q9H3D4
UCP2_HUMAN,P55851
DPOLB_HUMAN,P06746
GSH1_HUMAN,P48506
GSH0_HUMAN,P48507
SIRT6_HUMAN,M0R0B2
BUB3_HUMAN,O43684
RAE1L_HUMAN,P78406
MCH_HUMAN,P20382
MLH1_HUMAN,P40692
KC1E_HUMAN,P49674
CHIP_HUMAN,Q9UNE7
PPM1D_HUMAN,O15297
CHK2_HUMAN,O96017
PCKGC_HUMAN,P35558
RHG01_HUMAN,Q07960
CDC42_HUMAN,P60953
BMAL1_HUMAN,O00327
CLOCK_HUMAN,O15516
HIC1_HUMAN,Q14526
PAPP1_HUMAN,Q13219
ADCY5_HUMAN,O95622
PRGC1_HUMAN,Q9UBK2
GPX4_HUMAN,P36969
UCP1_HUMAN,P25874
FGF23_HUMAN,Q9GZV9
FBLN3_HUMAN,Q12805
XPF_HUMAN,Q92889
CETP_HUMAN,P11597
PPARG_HUMAN,P37231
AGTR1_HUMAN,P30556
CISD2_HUMAN,Q8N5K1
MCA3_HUMAN,O43324
ES8L2_HUMAN,Q9H6S3
KCNA3_HUMAN,P22001
SIR7_HUMAN,Q9NRC8
A4D0X1_HUMAN,A4D0X1
SOCS2_HUMAN,O14508
TPP2_HUMAN,P29144
TP53B_HUMAN,Q12888
SIR3_HUMAN,Q9NTG7
NCOR2_HUMAN,Q9Y618
SUN1_HUMAN,O94901
BAK_HUMAN,Q16611
IBP2_HUMAN,P18065
P5CR1_HUMAN,P32322
P73_HUMAN,O15350
CNR1_HUMAN,P21554
NF2L2_HUMAN,Q16236
CDN1A_HUMAN,P38936
PGFRA_HUMAN,P16234
PK3CA_HUMAN,P42336
C1QA_HUMAN,P02745
CDN2B_HUMAN,P42772
IF5A2_HUMAN,Q9GZV4
MIF_HUMAN,P14174
DGAT1_HUMAN,O75907
MT1E_HUMAN,P04732
FGF21_HUMAN,Q9NSA1
HTRA2_HUMAN,O43464
GSK3A_HUMAN,P49840
8ODP_HUMAN,P36639
IKKB_HUMAN,O14920
SQSTM_HUMAN,Q13501
CDK7_HUMAN,P50613
GRN_HUMAN,P28799
PAI1_HUMAN,P05121
SPRTN_HUMAN,Q9H040
RICTR_HUMAN,Q6R327
CTF1_HUMAN,Q16619
TRAP1_HUMAN,Q12931
TRPV1_HUMAN,Q8NER1
NF2L1_HUMAN,Q14494
IFNB_HUMAN,P01574
A0A024RB20_HUMAN,A0A024RB20
